============================================================
Masking Check Log
============================================================
Token (解碼後)                    | Label ID
"'"                            | 6     <--- 模型學習預測目標
' to'                          | 311   <--- 模型學習預測目標
' describe'                    | 7512  <--- 模型學習預測目標
' the'                         | 279   <--- 模型學習預測目標
' operation'                   | 5666  <--- 模型學習預測目標
' of'                          | 315   <--- 模型學習預測目標
' moving'                      | 7218  <--- 模型學習預測目標
' a'                           | 264   <--- 模型學習預測目標
' term'                        | 4647  <--- 模型學習預測目標
' from'                        | 504   <--- 模型學習預測目標
' one'                         | 825   <--- 模型學習預測目標
' side'                        | 3108  <--- 模型學習預測目標
' of'                          | 315   <--- 模型學習預測目標
' an'                          | 458   <--- 模型學習預測目標
' equation'                    | 23606 <--- 模型學習預測目標
' to'                          | 311   <--- 模型學習預測目標
' the'                         | 279   <--- 模型學習預測目標
' other'                       | 1008  <--- 模型學習預測目標
'.'                            | 13    <--- 模型學習預測目標
'<|im_end|>'                   | 151645 <--- 模型學習預測目標
'\n'                           | -100  (不計算 Loss)
'<|endoftext|>'                | -100  (不計算 Loss)
'<|endoftext|>'                | -100  (不計算 Loss)
'<|endoftext|>'                | -100  (不計算 Loss)
'<|endoftext|>'                | -100  (不計算 Loss)
'<|endoftext|>'                | -100  (不計算 Loss)
'<|endoftext|>'                | -100  (不計算 Loss)
'<|endoftext|>'                | -100  (不計算 Loss)
'<|endoftext|>'                | -100  (不計算 Loss)
'<|endoftext|>'                | -100  (不計算 Loss)
'<|endoftext|>'                | -100  (不計算 Loss)
'<|endoftext|>'                | -100  (不計算 Loss)
'<|endoftext|>'                | -100  (不計算 Loss)
'<|endoftext|>'                | -100  (不計算 Loss)
'<|endoftext|>'                | -100  (不計算 Loss)
'<|endoftext|>'                | -100  (不計算 Loss)
'<|endoftext|>'                | -100  (不計算 Loss)
'<|endoftext|>'                | -100  (不計算 Loss)
'<|endoftext|>'                | -100  (不計算 Loss)
'<|endoftext|>'                | -100  (不計算 Loss)
'<|endoftext|>'                | -100  (不計算 Loss)
'<|endoftext|>'                | -100  (不計算 Loss)
'<|endoftext|>'                | -100  (不計算 Loss)
'<|endoftext|>'                | -100  (不計算 Loss)
'<|endoftext|>'                | -100  (不計算 Loss)
'<|endoftext|>'                | -100  (不計算 Loss)
'<|endoftext|>'                | -100  (不計算 Loss)
'<|endoftext|>'                | -100  (不計算 Loss)
'<|endoftext|>'                | -100  (不計算 Loss)
'<|endoftext|>'                | -100  (不計算 Loss)
'<|endoftext|>'                | -100  (不計算 Loss)
'<|endoftext|>'                | -100  (不計算 Loss)
'<|endoftext|>'                | -100  (不計算 Loss)
'<|endoftext|>'                | -100  (不計算 Loss)
'<|endoftext|>'                | -100  (不計算 Loss)
'<|endoftext|>'                | -100  (不計算 Loss)
'<|endoftext|>'                | -100  (不計算 Loss)
'<|endoftext|>'                | -100  (不計算 Loss)
'<|endoftext|>'                | -100  (不計算 Loss)
'<|endoftext|>'                | -100  (不計算 Loss)
'<|endoftext|>'                | -100  (不計算 Loss)
'<|endoftext|>'                | -100  (不計算 Loss)
'<|endoftext|>'                | -100  (不計算 Loss)
'<|endoftext|>'                | -100  (不計算 Loss)
'<|endoftext|>'                | -100  (不計算 Loss)
'<|endoftext|>'                | -100  (不計算 Loss)
'<|endoftext|>'                | -100  (不計算 Loss)
'<|endoftext|>'                | -100  (不計算 Loss)
'<|endoftext|>'                | -100  (不計算 Loss)
'<|endoftext|>'                | -100  (不計算 Loss)
'<|endoftext|>'                | -100  (不計算 Loss)
'<|endoftext|>'                | -100  (不計算 Loss)
'<|endoftext|>'                | -100  (不計算 Loss)
'<|endoftext|>'                | -100  (不計算 Loss)
'<|endoftext|>'                | -100  (不計算 Loss)
'<|endoftext|>'                | -100  (不計算 Loss)
'<|endoftext|>'                | -100  (不計算 Loss)
'<|endoftext|>'                | -100  (不計算 Loss)
'<|endoftext|>'                | -100  (不計算 Loss)
'<|endoftext|>'                | -100  (不計算 Loss)
'<|endoftext|>'                | -100  (不計算 Loss)
'<|endoftext|>'                | -100  (不計算 Loss)
'<|endoftext|>'                | -100  (不計算 Loss)
'<|endoftext|>'                | -100  (不計算 Loss)
'<|endoftext|>'                | -100  (不計算 Loss)
'<|endoftext|>'                | -100  (不計算 Loss)
'<|endoftext|>'                | -100  (不計算 Loss)
'<|endoftext|>'                | -100  (不計算 Loss)
'<|endoftext|>'                | -100  (不計算 Loss)
'<|endoftext|>'                | -100  (不計算 Loss)
'<|endoftext|>'                | -100  (不計算 Loss)
'<|endoftext|>'                | -100  (不計算 Loss)
'<|endoftext|>'                | -100  (不計算 Loss)
'<|endoftext|>'                | -100  (不計算 Loss)
'<|endoftext|>'                | -100  (不計算 Loss)
'<|endoftext|>'                | -100  (不計算 Loss)
'<|endoftext|>'                | -100  (不計算 Loss)
'<|endoftext|>'                | -100  (不計算 Loss)
'<|endoftext|>'                | -100  (不計算 Loss)
'<|endoftext|>'                | -100  (不計算 Loss)
'<|endoftext|>'                | -100  (不計算 Loss)
'<|endoftext|>'                | -100  (不計算 Loss)
'<|endoftext|>'                | -100  (不計算 Loss)
'<|endoftext|>'                | -100  (不計算 Loss)
'<|endoftext|>'                | -100  (不計算 Loss)
